,TEAM,STATUS,PLAYER,POS.,CAP HIT,CAP %,YEAR,,,SALARY CAP,win%,avg_age,WIN%_GRP,POS_GRP,ID,ID,ID,ID,ID,Commas,,,team name on site,,
55,jax,active,Danny Etling,QB,36666,0.02,2019,2020,2021,182500000,0.176,25.48,low_win%,passer,jax_2019,jax_2020,jax_2021,,no_2020,"no_2020,",no_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",New-Orleans-Saints,"New-Orleans-Saints/cap/2020"")","no_2020 =pd.read_html(""https://www.spotrac.com/nfl/New-Orleans-Saints/cap/2020"")"
56,jax,active,Josh Hammond,WR,36666,0.02,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,,nyg_2020,"nyg_2020,",nyg_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",New-York-Giants,"New-York-Giants/cap/2020"")","nyg_2020 =pd.read_html(""https://www.spotrac.com/nfl/New-York-Giants/cap/2020"")"
57,jax,active,Badara Traore,T,36666,0.02,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,,nyj_2020,"nyj_2020,",nyj_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",New-York-Jets,"New-York-Jets/cap/2020"")","nyj_2020 =pd.read_html(""https://www.spotrac.com/nfl/New-York-Jets/cap/2020"")"
58,jax,injured,A.J. Cann,G,6278909,3,2019,2020,2021,182500000,0.176,25.48,low_win%,o-line,jax_2019,jax_2020,jax_2021,,phi_2020,"phi_2020,",phi_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Philadelphia-Eagles,"Philadelphia-Eagles/cap/2020"")","phi_2020 =pd.read_html(""https://www.spotrac.com/nfl/Philadelphia-Eagles/cap/2020"")"
59,jax,injured,Rayshawn Jenkins,S,3941176,1.89,2019,2020,2021,182500000,0.176,25.48,low_win%,d-back,jax_2019,jax_2020,jax_2021,,pit_2020,"pit_2020,",pit_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Pittsburgh-Steelers,"Pittsburgh-Steelers/cap/2020"")","pit_2020 =pd.read_html(""https://www.spotrac.com/nfl/Pittsburgh-Steelers/cap/2020"")"
60,jax,injured,Jamal Agnew,WR,2613724,1.25,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,,sea_2020,"sea_2020,",sea_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",San-Francisco-49ers,"San-Francisco-49ers/cap/2020"")","sea_2020 =pd.read_html(""https://www.spotrac.com/nfl/San-Francisco-49ers/cap/2020"")"
61,jax,injured,DJ Chark,WR,2511588,1.2,2019,2020,2021,182500000,0.176,25.48,low_win%,receiver,jax_2019,jax_2020,jax_2021,,sf_2020,"sf_2020,",sf_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Seattle-Seahawks,"Seattle-Seahawks/cap/2020"")","sf_2020 =pd.read_html(""https://www.spotrac.com/nfl/Seattle-Seahawks/cap/2020"")"
62,jax,injured,Travis Etienne,RB,2345110,1.12,2019,2020,2021,182500000,0.176,25.48,low_win%,runner,jax_2019,jax_2020,jax_2021,,tb_2020,"tb_2020,",tb_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Tampa-Bay-Buccaneers,"Tampa-Bay-Buccaneers/cap/2020"")","tb_2020 =pd.read_html(""https://www.spotrac.com/nfl/Tampa-Bay-Buccaneers/cap/2020"")"
63,jax,injured,Carlos Hyde,RB,1967640,0.94,2019,2020,2021,182500000,0.176,25.48,low_win%,runner,jax_2019,jax_2020,jax_2021,,ten_2020,"ten_2020,",ten_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Tennessee-Titans,"Tennessee-Titans/cap/2020"")","ten_2020 =pd.read_html(""https://www.spotrac.com/nfl/Tennessee-Titans/cap/2020"")"
64,jax,injured,Logan Cooke,P,1537906,0.74,2019,2020,2021,182500000,0.176,25.48,low_win%,kicking,jax_2019,jax_2020,jax_2021,,was_2020,was_2021,was_2020 =,"pd.read_html(""https://www.spotrac.com/nfl/",Washington-Football-Team,"Washington-Football-Team/cap/2020"")","was_2020 =pd.read_html(""https://www.spotrac.com/nfl/Washington-Football-Team/cap/2020"")"
